,02_05_2022,Vortag
Bad Oeynhausen,6770,6597
Espelkamp,5329,5208
Hille,1554,1501
Hüllhorst,1775,1736
Lübbecke,4060,3967
Minden,11691,11428
Petershagen,2315,2244
Porta Westfalica,4146,4029
Preußisch Oldendorf,1714,1660
Rahden,1934,1871
Stemwede,1238,1206
