,10_18_2021,Vortag
Bad Oeynhausen,2765,2749
Espelkamp,2790,2752
Hille,589,589
Hüllhorst,933,931
Lübbecke,1828,1806
Minden,5134,5115
Petershagen,1060,1054
Porta Westfalica,1606,1589
Preußisch Oldendorf,795,792
Rahden,949,946
Stemwede,640,637
