,10_26_2021,Vortag
Bad Oeynhausen,2877,2863
Espelkamp,2898,2867
Hille,610,605
Hüllhorst,947,941
Lübbecke,1897,1883
Minden,5232,5222
Petershagen,1074,1073
Porta Westfalica,1672,1663
Preußisch Oldendorf,817,807
Rahden,977,969
Stemwede,660,652
