,12_02_2021,Vortag
Bad Oeynhausen,3639,3597
Espelkamp,3663,3633
Hille,767,752
Hüllhorst,1165,1147
Lübbecke,2519,2490
Minden,6328,6293
Petershagen,1310,1297
Porta Westfalica,2230,2214
Preußisch Oldendorf,1070,1061
Rahden,1189,1170
Stemwede,795,786
