,12_15_2021,Vortag
Bad Oeynhausen,3972,3938
Espelkamp,3914,3900
Hille,846,846
Hüllhorst,1235,1231
Lübbecke,2672,2665
Minden,6840,6793
Petershagen,1455,1444
Porta Westfalica,2418,2409
Preußisch Oldendorf,1142,1134
Rahden,1278,1271
Stemwede,828,826
