,08_26_2021,Vortag
Bad Oeynhausen,2326,2317
Espelkamp,1904,1896
Hille,550,549
Hüllhorst,761,760
Lübbecke,1578,1570
Minden,4591,4567
Petershagen,946,944
Porta Westfalica,1333,1329
Preußisch Oldendorf,705,705
Rahden,817,815
Stemwede,578,577
