,01_10_2022,Vortag
Bad Oeynhausen,4420,4346
Espelkamp,4205,4153
Hille,1000,971
Hüllhorst,1360,1338
Lübbecke,2881,2846
Minden,7990,7869
Petershagen,1602,1580
Porta Westfalica,2748,2700
Preußisch Oldendorf,1233,1210
Rahden,1406,1393
Stemwede,886,881
