,12_06_2021,Vortag
Bad Oeynhausen,3729,3672
Espelkamp,3748,3701
Hille,793,773
Hüllhorst,1190,1175
Lübbecke,2561,2539
Minden,6505,6388
Petershagen,1345,1321
Porta Westfalica,2285,2246
Preußisch Oldendorf,1095,1085
Rahden,1217,1198
Stemwede,810,797
