,10_28_2021,Vortag
Bad Oeynhausen,2926,2903
Espelkamp,2944,2924
Hille,619,616
Hüllhorst,962,953
Lübbecke,1919,1908
Minden,5280,5265
Petershagen,1086,1083
Porta Westfalica,1734,1706
Preußisch Oldendorf,832,823
Rahden,991,989
Stemwede,665,661
