,01_05_2022,Vortag
Bad Oeynhausen,4253,4223
Espelkamp,4123,4109
Hille,952,944
Hüllhorst,1328,1321
Lübbecke,2823,2801
Minden,7712,7652
Petershagen,1565,1556
Porta Westfalica,2659,2644
Preußisch Oldendorf,1206,1200
Rahden,1377,1373
Stemwede,874,868
