,09_13_2021,Vortag
Bad Oeynhausen,2517,2495
Espelkamp,2108,2065
Hille,563,562
Hüllhorst,843,827
Lübbecke,1663,1651
Minden,4811,4797
Petershagen,977,966
Porta Westfalica,1447,1432
Preußisch Oldendorf,737,732
Rahden,863,859
Stemwede,602,600
