,09_19_2021,Vortag
Bad Oeynhausen,2558,2553
Espelkamp,2154,2147
Hille,569,568
Hüllhorst,857,857
Lübbecke,1674,1671
Minden,4851,4850
Petershagen,995,988
Porta Westfalica,1459,1457
Preußisch Oldendorf,749,747
Rahden,866,866
Stemwede,603,603
