,09_22_2021,Vortag
Bad Oeynhausen,2622,2611
Espelkamp,2260,2233
Hille,574,574
Hüllhorst,868,866
Lübbecke,1691,1688
Minden,4909,4903
Petershagen,1008,1004
Porta Westfalica,1489,1480
Preußisch Oldendorf,754,751
Rahden,872,869
Stemwede,605,604
