,09_04_2021,Vortag
Bad Oeynhausen,2406,2390
Espelkamp,1956,1953
Hille,555,555
Hüllhorst,815,807
Lübbecke,1627,1616
Minden,4707,4695
Petershagen,955,952
Porta Westfalica,1389,1386
Preußisch Oldendorf,724,720
Rahden,849,849
Stemwede,594,591
