,09_12_2021,Vortag
Bad Oeynhausen,2495,2475
Espelkamp,2065,2048
Hille,562,562
Hüllhorst,827,827
Lübbecke,1651,1643
Minden,4797,4783
Petershagen,966,966
Porta Westfalica,1432,1425
Preußisch Oldendorf,732,732
Rahden,859,858
Stemwede,600,599
