,10_09_2021,Vortag
Bad Oeynhausen,2708,2698
Espelkamp,2641,2604
Hille,580,580
Hüllhorst,910,909
Lübbecke,1772,1764
Minden,5036,5031
Petershagen,1045,1045
Porta Westfalica,1556,1551
Preußisch Oldendorf,781,778
Rahden,932,932
Stemwede,623,622
