,10_12_2021,Vortag
Bad Oeynhausen,2724,2718
Espelkamp,2717,2698
Hille,585,584
Hüllhorst,919,918
Lübbecke,1792,1789
Minden,5074,5067
Petershagen,1050,1048
Porta Westfalica,1573,1565
Preußisch Oldendorf,787,784
Rahden,942,939
Stemwede,631,630
