,01_27_2022,Vortag
Bad Oeynhausen,5641,5501
Espelkamp,4767,4714
Hille,1282,1250
Hüllhorst,1576,1560
Lübbecke,3515,3473
Minden,9977,9775
Petershagen,1965,1930
Porta Westfalica,3437,3375
Preußisch Oldendorf,1465,1440
Rahden,1678,1651
Stemwede,1046,1024
