,08_18_2021,Vortag
Bad Oeynhausen,2265,2257
Espelkamp,1848,1842
Hille,531,531
Hüllhorst,731,731
Lübbecke,1540,1536
Minden,4391,4363
Petershagen,935,934
Porta Westfalica,1271,1261
Preußisch Oldendorf,693,691
Rahden,799,795
Stemwede,565,565
