,01_17_2022,Vortag
Bad Oeynhausen,4727,4632
Espelkamp,4343,4294
Hille,1068,1046
Hüllhorst,1406,1388
Lübbecke,3058,2981
Minden,8533,8359
Petershagen,1681,1648
Porta Westfalica,2931,2869
Preußisch Oldendorf,1284,1259
Rahden,1462,1443
Stemwede,927,919
