,12_04_2021,Vortag
Bad Oeynhausen,3672,3639
Espelkamp,3701,3663
Hille,773,767
Hüllhorst,1175,1165
Lübbecke,2539,2519
Minden,6388,6328
Petershagen,1321,1310
Porta Westfalica,2246,2230
Preußisch Oldendorf,1085,1070
Rahden,1198,1189
Stemwede,797,795
