,02_07_2022,Vortag
Bad Oeynhausen,7002,6770
Espelkamp,5479,5329
Hille,1618,1554
Hüllhorst,1835,1775
Lübbecke,4198,4060
Minden,12149,11691
Petershagen,2396,2315
Porta Westfalica,4317,4146
Preußisch Oldendorf,1799,1714
Rahden,2001,1934
Stemwede,1290,1238
