,02_16_2022,Vortag
Bad Oeynhausen,8321,8182
Espelkamp,6309,6221
Hille,2009,1954
Hüllhorst,2180,2136
Lübbecke,5035,4907
Minden,14164,13900
Petershagen,2899,2820
Porta Westfalica,5290,5179
Preußisch Oldendorf,2185,2112
Rahden,2423,2396
Stemwede,1595,1540
