,12_12_2021,Vortag
Bad Oeynhausen,3864,3836
Espelkamp,3850,3811
Hille,827,815
Hüllhorst,1214,1209
Lübbecke,2632,2602
Minden,6668,6636
Petershagen,1407,1394
Porta Westfalica,2354,2341
Preußisch Oldendorf,1123,1109
Rahden,1246,1236
Stemwede,819,818
