,01_31_2022,Vortag
Bad Oeynhausen,5996,5787
Espelkamp,4967,4835
Hille,1365,1310
Hüllhorst,1639,1603
Lübbecke,3705,3600
Minden,10632,10202
Petershagen,2091,2015
Porta Westfalica,3681,3544
Preußisch Oldendorf,1525,1487
Rahden,1751,1700
Stemwede,1098,1068
