,12_21_2021,Vortag
Bad Oeynhausen,4036,4026
Espelkamp,3974,3968
Hille,857,859
Hüllhorst,1258,1250
Lübbecke,2714,2707
Minden,7051,7008
Petershagen,1487,1486
Porta Westfalica,2490,2481
Preußisch Oldendorf,1166,1164
Rahden,1301,1300
Stemwede,835,832
