,08_23_2021,Vortag
Bad Oeynhausen,2303,2284
Espelkamp,1880,1862
Hille,543,535
Hüllhorst,748,734
Lübbecke,1561,1546
Minden,4499,4436
Petershagen,943,940
Porta Westfalica,1307,1283
Preußisch Oldendorf,701,696
Rahden,812,806
Stemwede,575,568
