,11_24_2021,Vortag
Bad Oeynhausen,3336,3295
Espelkamp,3455,3415
Hille,705,695
Hüllhorst,1093,1075
Lübbecke,2366,2338
Minden,5979,5899
Petershagen,1239,1229
Porta Westfalica,2110,2072
Preußisch Oldendorf,1016,1004
Rahden,1141,1126
Stemwede,751,744
