,01_04_2022,Vortag
Bad Oeynhausen,4223,4201
Espelkamp,4109,4095
Hille,944,935
Hüllhorst,1321,1314
Lübbecke,2801,2782
Minden,7652,7584
Petershagen,1556,1555
Porta Westfalica,2644,2621
Preußisch Oldendorf,1200,1198
Rahden,1373,1369
Stemwede,868,864
