,08_11_2021,Vortag
Bad Oeynhausen,2232,2226
Espelkamp,1827,1820
Hille,525,525
Hüllhorst,729,728
Lübbecke,1520,1521
Minden,4312,4306
Petershagen,920,916
Porta Westfalica,1245,1243
Preußisch Oldendorf,682,677
Rahden,793,793
Stemwede,563,558
