,08_06_2021,Vortag
Bad Oeynhausen,2214,2213
Espelkamp,1810,1808
Hille,520,520
Hüllhorst,723,722
Lübbecke,1516,1515
Minden,4288,4287
Petershagen,912,910
Porta Westfalica,1237,1236
Preußisch Oldendorf,674,672
Rahden,790,789
Stemwede,553,551
