,09_01_2021,Vortag
Bad Oeynhausen,2379,2370
Espelkamp,1945,1938
Hille,555,556
Hüllhorst,804,791
Lübbecke,1611,1601
Minden,4670,4642
Petershagen,952,951
Porta Westfalica,1376,1363
Preußisch Oldendorf,717,713
Rahden,841,838
Stemwede,591,588
