,12_07_2021,Vortag
Bad Oeynhausen,3767,3729
Espelkamp,3774,3748
Hille,798,793
Hüllhorst,1197,1190
Lübbecke,2573,2561
Minden,6562,6505
Petershagen,1368,1345
Porta Westfalica,2307,2285
Preußisch Oldendorf,1096,1095
Rahden,1224,1217
Stemwede,812,810
