,08_03_2021,Vortag
Bad Oeynhausen,2204,2200
Espelkamp,1798,1796
Hille,515,515
Hüllhorst,719,717
Lübbecke,1511,1509
Minden,4282,4278
Petershagen,907,907
Porta Westfalica,1232,1231
Preußisch Oldendorf,671,669
Rahden,786,785
Stemwede,550,548
