,10_21_2021,Vortag
Bad Oeynhausen,2825,2806
Espelkamp,2819,2810
Hille,596,594
Hüllhorst,939,936
Lübbecke,1855,1848
Minden,5183,5166
Petershagen,1063,1063
Porta Westfalica,1624,1618
Preußisch Oldendorf,799,798
Rahden,963,956
Stemwede,648,643
