,12_16_2021,Vortag
Bad Oeynhausen,3990,3972
Espelkamp,3924,3914
Hille,850,846
Hüllhorst,1237,1235
Lübbecke,2682,2672
Minden,6892,6840
Petershagen,1464,1455
Porta Westfalica,2432,2418
Preußisch Oldendorf,1147,1142
Rahden,1290,1278
Stemwede,830,828
