,10_06_2021,Vortag
Bad Oeynhausen,2692,2689
Espelkamp,2556,2511
Hille,577,577
Hüllhorst,903,895
Lübbecke,1752,1744
Minden,5011,5000
Petershagen,1044,1044
Porta Westfalica,1544,1539
Preußisch Oldendorf,774,773
Rahden,928,916
Stemwede,619,619
