,08_12_2021,Vortag
Bad Oeynhausen,2235,2232
Espelkamp,1829,1827
Hille,526,525
Hüllhorst,729,729
Lübbecke,1524,1520
Minden,4319,4312
Petershagen,930,920
Porta Westfalica,1246,1245
Preußisch Oldendorf,683,682
Rahden,793,793
Stemwede,563,563
