,11_29_2021,Vortag
Bad Oeynhausen,3509,3412
Espelkamp,3579,3519
Hille,742,726
Hüllhorst,1136,1114
Lübbecke,2464,2413
Minden,6194,6085
Petershagen,1271,1251
Porta Westfalica,2189,2141
Preußisch Oldendorf,1050,1037
Rahden,1159,1152
Stemwede,781,763
