,12_09_2021,Vortag
Bad Oeynhausen,3836,3806
Espelkamp,3811,3798
Hille,815,806
Hüllhorst,1209,1205
Lübbecke,2602,2587
Minden,6636,6601
Petershagen,1394,1384
Porta Westfalica,2341,2323
Preußisch Oldendorf,1109,1104
Rahden,1236,1229
Stemwede,818,816
