,09_28_2021,Vortag
Bad Oeynhausen,2660,2652
Espelkamp,2342,2317
Hille,576,576
Hüllhorst,883,880
Lübbecke,1712,1708
Minden,4935,4929
Petershagen,1025,1021
Porta Westfalica,1519,1513
Preußisch Oldendorf,767,764
Rahden,887,885
Stemwede,611,610
