,10_14_2021,Vortag
Bad Oeynhausen,2741,2731
Espelkamp,2742,2726
Hille,587,586
Hüllhorst,923,920
Lübbecke,1804,1798
Minden,5105,5084
Petershagen,1053,1052
Porta Westfalica,1582,1576
Preußisch Oldendorf,790,788
Rahden,946,944
Stemwede,636,633
