,02_10_2022,Vortag
Bad Oeynhausen,7526,7377
Espelkamp,5817,5727
Hille,1772,1722
Hüllhorst,1967,1937
Lübbecke,4529,4438
Minden,13009,12772
Petershagen,2576,2532
Porta Westfalica,4715,4606
Preußisch Oldendorf,1964,1916
Rahden,2183,2128
Stemwede,1416,1377
