,10_20_2021,Vortag
Bad Oeynhausen,2806,2783
Espelkamp,2810,2801
Hille,594,592
Hüllhorst,936,935
Lübbecke,1848,1839
Minden,5166,5145
Petershagen,1063,1062
Porta Westfalica,1618,1613
Preußisch Oldendorf,798,797
Rahden,956,954
Stemwede,643,643
