,11_23_2021,Vortag
Bad Oeynhausen,3295,3276
Espelkamp,3415,3407
Hille,695,692
Hüllhorst,1075,1071
Lübbecke,2338,2331
Minden,5899,5877
Petershagen,1229,1222
Porta Westfalica,2072,2061
Preußisch Oldendorf,1004,1003
Rahden,1126,1122
Stemwede,744,744
