,02_08_2022,Vortag
Bad Oeynhausen,7215,7002
Espelkamp,5617,5479
Hille,1682,1618
Hüllhorst,1902,1835
Lübbecke,4332,4198
Minden,12488,12149
Petershagen,2476,2396
Porta Westfalica,4487,4317
Preußisch Oldendorf,1857,1799
Rahden,2071,2001
Stemwede,1335,1290
