,11_10_2021,Vortag
Bad Oeynhausen,3065,3053
Espelkamp,3187,3147
Hille,642,638
Hüllhorst,1009,1001
Lübbecke,2113,2090
Minden,5493,5464
Petershagen,1131,1127
Porta Westfalica,1896,1878
Preußisch Oldendorf,918,909
Rahden,1059,1047
Stemwede,682,678
