,12_13_2021,Vortag
Bad Oeynhausen,3902,3864
Espelkamp,3864,3850
Hille,837,827
Hüllhorst,1217,1214
Lübbecke,2649,2632
Minden,6726,6668
Petershagen,1422,1407
Porta Westfalica,2375,2354
Preußisch Oldendorf,1130,1123
Rahden,1257,1246
Stemwede,823,819
