,12_29_2021,Vortag
Bad Oeynhausen,4126,4111
Espelkamp,4056,4025
Hille,899,880
Hüllhorst,1282,1274
Lübbecke,2754,2745
Minden,7352,7299
Petershagen,1523,1515
Porta Westfalica,2568,2547
Preußisch Oldendorf,1184,1175
Rahden,1333,1328
Stemwede,855,848
