Ort,Gesamtzahl
Ahlen,3813
Beckum,1610
Beelen,272
Drensteinfurt,378
Ennigerloh,846
Everswinkel,262
Oelde,1671
Ostbevern,403
Sassenberg,515
Sendenhorst,413
Telgte,723
Wadersloh,587
Warendorf,1282
GESAMT,12775
