Ort,Gesamtzahl
Ahlen,4042
Beckum,1802
Beelen,316
Drensteinfurt,420
Ennigerloh,912
Everswinkel,274
Oelde,1792
Ostbevern,426
Sassenberg,588
Sendenhorst,446
Telgte,759
Wadersloh,618
Warendorf,1435
GESAMT,13830
