Ort,Gesamtzahl
Ahlen,4048
Beckum,1804
Beelen,323
Drensteinfurt,421
Ennigerloh,913
Everswinkel,274
Oelde,1794
Ostbevern,429
Sassenberg,595
Sendenhorst,447
Telgte,759
Wadersloh,619
Warendorf,1439
GESAMT,13865
