Ort,Gesamtzahl
Ahlen,3906
Beckum,1694
Beelen,286
Drensteinfurt,392
Ennigerloh,870
Everswinkel,271
Oelde,1722
Ostbevern,406
Sassenberg,523
Sendenhorst,430
Telgte,739
Wadersloh,599
Warendorf,1351
GESAMT,13189
