Ort,Gesamtzahl
Ahlen,3797
Beckum,1606
Beelen,268
Drensteinfurt,378
Ennigerloh,841
Everswinkel,262
Oelde,1668
Ostbevern,403
Sassenberg,514
Sendenhorst,413
Telgte,722
Wadersloh,582
Warendorf,1273
GESAMT,12727
