Ort,Gesamtzahl
Ahlen,3540
Beckum,1470
Beelen,245
Drensteinfurt,361
Ennigerloh,793
Everswinkel,237
Oelde,1597
Ostbevern,395
Sassenberg,498
Sendenhorst,389
Telgte,637
Wadersloh,557
Warendorf,1151
GESAMT,11870
