Ort,Gesamtzahl
Ahlen,4199
Beckum,1916
Beelen,366
Drensteinfurt,467
Ennigerloh,963
Everswinkel,298
Oelde,1882
Ostbevern,498
Sassenberg,692
Sendenhorst,464
Telgte,841
Wadersloh,673
Warendorf,1652
GESAMT,14911
