Ort,Gesamtzahl
Ahlen,4054
Beckum,1818
Beelen,332
Drensteinfurt,424
Ennigerloh,916
Everswinkel,275
Oelde,1802
Ostbevern,437
Sassenberg,605
Sendenhorst,447
Telgte,759
Wadersloh,622
Warendorf,1461
GESAMT,13952
