Ort,Gesamtzahl
Ahlen,4066
Beckum,1821
Beelen,334
Drensteinfurt,427
Ennigerloh,918
Everswinkel,279
Oelde,1809
Ostbevern,444
Sassenberg,609
Sendenhorst,450
Telgte,761
Wadersloh,623
Warendorf,1472
GESAMT,14013
