Ort,Gesamtzahl
Ahlen,3444
Beckum,1451
Beelen,240
Drensteinfurt,358
Ennigerloh,774
Everswinkel,232
Oelde,1559
Ostbevern,393
Sassenberg,481
Sendenhorst,386
Telgte,624
Wadersloh,540
Warendorf,1129
GESAMT,11611
