Ort,Gesamtzahl
Ahlen,4908
Beckum,2440
Beelen,478
Drensteinfurt,616
Ennigerloh,1193
Everswinkel,493
Oelde,2226
Ostbevern,655
Sassenberg,918
Sendenhorst,598
Telgte,1040
Wadersloh,912
Warendorf,2228
GESAMT,18705
