Ort,Gesamtzahl
Ahlen,3969
Beckum,1721
Beelen,293
Drensteinfurt,398
Ennigerloh,882
Everswinkel,274
Oelde,1745
Ostbevern,408
Sassenberg,540
Sendenhorst,436
Telgte,742
Wadersloh,606
Warendorf,1369
GESAMT,13383
