Ort,Gesamtzahl
Ahlen,4370
Beckum,2053
Beelen,409
Drensteinfurt,521
Ennigerloh,1018
Everswinkel,371
Oelde,1997
Ostbevern,536
Sassenberg,745
Sendenhorst,487
Telgte,902
Wadersloh,711
Warendorf,1835
GESAMT,15955
