Ort,Gesamtzahl
Ahlen,8784
Beckum,4292
Beelen,777
Drensteinfurt,1381
Ennigerloh,1973
Everswinkel,793
Oelde,3529
Ostbevern,1052
Sassenberg,1478
Sendenhorst,1314
Telgte,1504
Wadersloh,1392
Warendorf,3511
GESAMT,31780
