Ort,Gesamtzahl
Ahlen,3554
Beckum,1474
Beelen,245
Drensteinfurt,362
Ennigerloh,794
Everswinkel,240
Oelde,1598
Ostbevern,395
Sassenberg,499
Sendenhorst,390
Telgte,638
Wadersloh,558
Warendorf,1157
GESAMT,11904
